name             Rg_nm  salt_mM  kappa_nm_inverse
alpha-synuclein  3.31    185      1.40
ACTR             2.51    199      1.45
Ash1             2.85    150      1.26
hNHE1cdt         3.63    199      1.45
IBB              3.20    162      1.31
K18              3.80    163      1.31
K25              4.40    163      1.31
N49              1.59    162      1.31
N98              2.86    162      1.31
NLS              2.40    162      1.31
NSP              4.10    162      1.31
NUL              3.00    162      1.31
NUS              2.49    162      1.31
P53              2.87    208      1.49
ProTalpha        3.79    155      1.28
SH4-UD           2.90    217      1.52
Sic1             3.21    162      1.31
K16          	 3.90    163      1.31
K32          	 4.20    163      1.31
K27          	 3.70    163      1.31
K17          	 3.60    163      1.31
K19          	 3.50    163      1.31
K44          	 5.20    163      1.31
K10          	 4.00    163      1.31
K23          	 4.90    163      1.31
